Region,Type,Nature,Highest Price Month,Lowest Price Month,Highest Price,Lowest Price
Monastir,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Monastir,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite El Bassati,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
Bab Bhar,Fond de Com,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
El Aroussa,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Montplaisir,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Sfax,App. 2 pièc,Vente,March,March,521676.05903310573,335467.2110650256
Cite Des Olivie,App. 3 pièc,Location,February,February,511238.2649639356,385959.4082204523
La Mannouba,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Le Bardo,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Kelibia,Autre,Vente,March,March,521676.05903310573,335467.2110650256
Mornag,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Marsa Safsaf,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Marsa Safsaf,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
La Mannouba,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Tlelsa,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Hammamet,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Rtiba,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Hammam El Gheza,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Nabeul,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Montplaisir,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Village Mediter,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
El Aouina,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Cite El Moustak,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Riadh Landlous,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Residence Jinen,App. 4 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Grombalia,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Residence Jinen,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
La Mannouba,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Menzel Temime,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Berge Du Lac,Surfaces,Vente,March,May,521676.05903310573,274550.28580589977
La Mannouba,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Kalaa El Kebira,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Hammam Sousse,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Cite De La Plag,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Riadh Landlous,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Kelibia,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Lebna,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Kelibia,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Hammam Sousse,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Republique,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Bizerte,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
La Soukra,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Bab Bhar,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Raoued,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Merkez Derouich,Terrain nu,Terrain,February,February,511238.2649639356,385959.4082204523
Riadh Landlous,Duplex,Vente,March,April,521676.05903310573,310308.0805972307
Cite Ennasr 2,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
La Soukra,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Republique,Gérance lib,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Gabes El Menara,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Ben Arous,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Ben Arous Sud,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Ariana,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Fouchana,App. 4 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Cite Ennasr 2,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Chatt Meriem,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
El Menzah 1,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Ariana,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
La Soukra,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Hammamet,Maisons,Location vacance,March,May,521676.05903310573,274550.28580589977
Hammamet,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Ezzahra,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Hammamet,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Hammamet,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Ben Arous,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Ksibet Sousse,Terrain nu,Terrain,March,March,521676.05903310573,335467.2110650256
Khezama Ouest,Duplex,Vente,February,February,511238.2649639356,385959.4082204523
Hergla,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Jardins d'el Me,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Cite Touristiqu,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Cite Cebbalet C,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Denden,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Ezzahrouni,App. 2 pièc,Vente,March,April,521676.05903310573,310308.0805972307
El Mourouj,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Borj Youssef,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Dhahri,Terrain nu,Terrain,February,February,511238.2649639356,385959.4082204523
Bou Salem,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
Jardins de Cart,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Soliman,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Bab El Khadra,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
Mutuelle Ville,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Mellassine,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Borj Louzir,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Sakiet Ezzit,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Rommana,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
Metline,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Borj Louzir,App. 3 pièc,Location,March,April,521676.05903310573,310308.0805972307
Mellita Djerba,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
Sidi Mansour,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Bennouria,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
El Aouina,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Mnihla,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Sidi Boumendil,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Bizerte Bab Mat,App. 1 pièc,Location,February,February,511238.2649639356,385959.4082204523
Hammam Chatt,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Hammam Lif,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Cite Essaada,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Marsa Ennassim,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
La Goulette Nou,Gérance lib,Bureaux & Commer,February,February,511238.2649639356,385959.4082204523
Grombalia,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
La Soukra,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Hammamet,App. 5 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Ariana,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Chotrana 1,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Cite Jaouhara,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Cite Ennasr 2,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Mnihla,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Hammamet,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Aouina,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Chotrana 1,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
El Menzah 5,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Menzah 5,App. 5 pièc,Location,February,February,511238.2649639356,385959.4082204523
El Aouina,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,Autre,Bureaux & Commer,March,April,521676.05903310573,310308.0805972307
Chatt Meriem,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Jardins de Cart,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Bizerte,Maisons,Location,March,April,521676.05903310573,310308.0805972307
Ain Zaghouan,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sidi Daoud,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Meghira Centre,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Mornag,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Hammamet,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Djerba,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Nabeul,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
La Soukra,Atelier,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Ariana Essoughr,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Rades Meliane,App. 1 pièc,Location,February,February,511238.2649639356,385959.4082204523
Cite Sidi Nasse,App. 3 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Tabarka,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Riadh Landlous,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite El Faouz,App. 2 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Village Mediter,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Rades Meliane,App. 2 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Chotrana 2,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Mourouj,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Casino La Goule,Autre,Vente,February,February,511238.2649639356,385959.4082204523
La Mannouba,App. 2 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Cite Ennour Jaa,Terrain nu,Terrain,February,February,511238.2649639356,385959.4082204523
La Mannouba,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sidi Hmed,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Sakiet Eddaier,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
El Aouabed,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Khelidia,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Chatt Meriem,App. 1 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Ariana Essoughr,App. 2 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Ariana,App. 2 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Ariana,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Borj Touil,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Ariana,App. 5 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Jardins d'el Me,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Menzah 9,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Menzah 8,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Cite Rous El Ha,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Hammamet,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ben Arous,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Le Kram Est,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite Ennasr 2,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Bir El Jedey,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Nabeul,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Bouchoucha,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
Barraket Essahe,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Mnihla,Atelier,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
Ariana,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Cite Ennasr 1,Fond de Com,Bureaux & Commer,March,March,521676.05903310573,335467.2110650256
El Omrane Super,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Berge Du Lac,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Menzah 9,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Chatt Meriem,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Berge Du Lac,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Cite Erriadh,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ben Arous Sud,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Megrine,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Nabeul,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Cite Ezzouhour,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
El Omrane Super,App. 1 pièc,Location vacance,February,February,511238.2649639356,385959.4082204523
El Omrane Super,App. 1 pièc,Location,March,April,521676.05903310573,310308.0805972307
El Manar 2,Surfaces,Location,March,March,521676.05903310573,335467.2110650256
Chotrana 1,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Korba,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Mnihla,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Cite El Khadra,Duplex,Vente,February,February,511238.2649639356,385959.4082204523
Kelibia,App. 3 pièc,Location vacance,March,May,521676.05903310573,274550.28580589977
Berge Du Lac,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Cite Ennkhilet,App. 3 pièc,Location,February,February,511238.2649639356,385959.4082204523
Riadh Landlous,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Jardins d'el Me,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
El Menzah 1,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,Duplex,Vente,March,May,521676.05903310573,274550.28580589977
Sidi Salah,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Nabeul,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Sidi Daoud,App. 4 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Jardins de Cart,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Dar Allouche,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
La Mannouba,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Cite Universita,App. 1 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Hammamet,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Djerba,App. 3 pièc,Vente,February,February,511238.2649639356,385959.4082204523
La Soukra,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Sidi Frej,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sidi Daoud,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Beni Khiar,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Ariana,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Ezzahrouni,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
Ezzahrouni,Autre,Location,February,February,511238.2649639356,385959.4082204523
Bizerte,App. 4 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Barraket Essahe,Maisons,Location,February,February,511238.2649639356,385959.4082204523
Jardins de Cart,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Berge Du Lac,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Bizerte,App. 2 pièc,Location vacance,March,April,521676.05903310573,310308.0805972307
Cite El Khadra,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Cite El Ghazala,Surfaces,Bureaux & Commer,February,February,511238.2649639356,385959.4082204523
Raoued,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Aghir,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Sidi Mansour,Maisons,Location,February,February,511238.2649639356,385959.4082204523
El May,App. 2 pièc,Location vacance,February,February,511238.2649639356,385959.4082204523
Berge Du Lac,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Aouina,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Riadh Landlous,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
El Menzah 4,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
Le Kram,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Mnihla,App. 2 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Hammamet,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sahloul,Maisons,Location,March,April,521676.05903310573,310308.0805972307
Raoued,Duplex,Vente,March,April,521676.05903310573,310308.0805972307
Ain Zaghouan,Surfaces,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
El Manar 2,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Menzah 1,App. 4 pièc,Vente,February,February,511238.2649639356,385959.4082204523
El Manar 1,Autre,Location,February,February,511238.2649639356,385959.4082204523
Cite Ezzouhour,App. 3 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Gammart,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Carthage,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Marsa Ennassim,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Sousse,App. 4 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Sousse,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Bou Mhel,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Residence Ennas,Duplex,Vente,February,February,511238.2649639356,385959.4082204523
Oued Ellil,Duplex,Location,March,April,521676.05903310573,310308.0805972307
Gammart,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Riadh Landlous,Maisons,Location,March,May,521676.05903310573,274550.28580589977
La Soukra,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Marsa Ennassim,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Aouina,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Kalaa Essghira,Autre,Vente,February,February,511238.2649639356,385959.4082204523
El May,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Ain Zaghouan,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Cite Ennacim,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Republique,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Beni Khiar,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Marsa Safsaf,Maisons,Location,March,May,521676.05903310573,274550.28580589977
El Mourouj,Autre,Vente,March,May,521676.05903310573,274550.28580589977
Cite Ben Joud,Terrain nu,Terrain,February,February,511238.2649639356,385959.4082204523
El Manar 1,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Gammart,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
El Manar 2,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Sidi Salah,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
Chotrana 3,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
El Fahs,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Hammamet,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Jardins d'el Me,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
La Soukra,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Cite Ennkhilet,Maisons,Location,March,March,521676.05903310573,335467.2110650256
Jardins d'el Me,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Bizerte,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Sidi Thabet,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Le Bardo,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Le Kram,Duplex,Vente,March,May,521676.05903310573,274550.28580589977
Nouvelle Ariana,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Gammart,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Tunis Belvedere,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Sahloul,Duplex,Vente,February,February,511238.2649639356,385959.4082204523
Rtiba,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
El Manar 2,Autre,Location,February,February,511238.2649639356,385959.4082204523
Kasserine,Maisons,Vente,February,February,511238.2649639356,385959.4082204523
Siliana,Terrain agr,Terrain,February,February,511238.2649639356,385959.4082204523
Jardins de Cart,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Hedi Chaker,App. 1 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Bab El Khadra,App. 1 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Ezzahra,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Menzah 4,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Jardins de Cart,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Mutuelle Ville,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
Bizerte,App. 1 pièc,Location,March,May,521676.05903310573,274550.28580589977
La Mannouba,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
El Manar 2,Maisons,Location,March,May,521676.05903310573,274550.28580589977
Republique,Autre,Location,March,March,521676.05903310573,335467.2110650256
Republique,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Menzah 6,Maisons,Location,March,March,521676.05903310573,335467.2110650256
Mutuelle Ville,Bureau,Bureaux & Commer,March,May,521676.05903310573,274550.28580589977
Ezzahra,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Republique,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
Chaabet El Mrez,App. 4 pièc,Location,February,February,511238.2649639356,385959.4082204523
La Mannouba,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Riadh Landlous,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Jardins d'el Me,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Khezama Ouest,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
Cite Bhar Lazre,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Sakiet Ezzit,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Bab Alioua,App. 2 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Raoued,App. 5 pièc,Vente,February,February,511238.2649639356,385959.4082204523
Bab Bhar,Autre,Location,March,April,521676.05903310573,310308.0805972307
Montplaisir,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Cite Ennasr 1,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Berge Du Lac,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Kerkouane,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Cite Ennasr 2,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Tabarka,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Mutuelle Ville,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Raoued,App. 3 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Jardins d'el Me,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Chotrana 2,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Nabeul,App. 4 pièc,Vente,March,April,521676.05903310573,310308.0805972307
Ras Jebel,Terrain agr,Terrain,March,April,521676.05903310573,310308.0805972307
Belaoum,Terrain agr,Terrain,March,March,521676.05903310573,335467.2110650256
Chatt Meriem,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Bab Bhar,App. 5 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Bouchoucha,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Hammamet,Terrain agr,Terrain,March,May,521676.05903310573,274550.28580589977
Sidi Frej,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Saheb Jebel,Maisons,Vente,March,March,521676.05903310573,335467.2110650256
Cite El Khalij,Surfaces,Vente,March,April,521676.05903310573,310308.0805972307
Cite Ennkhilet,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Sidi Salah,Surfaces,Vente,February,February,511238.2649639356,385959.4082204523
El Menzah 9,Duplex,Location,March,May,521676.05903310573,274550.28580589977
Cite Des Juges,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Borj Touil,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Dar Chaabane Pl,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Merkez Chihya,App. 3 pièc,Location,February,February,511238.2649639356,385959.4082204523
Habib Thameur,App. 3 pièc,Vente,February,February,511238.2649639356,385959.4082204523
El Manar 1,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Yasminette,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Chotrana 3,Surfaces,Location,March,May,521676.05903310573,274550.28580589977
Raoued,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Cite Du Stade,App. 3 pièc,Location,March,May,521676.05903310573,274550.28580589977
El Menzah 5,Terrain nu,Terrain,March,April,521676.05903310573,310308.0805972307
Cite Bhar Lazre,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Dar Fadhal,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Gammart,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Jardins d'el Me,App. 2 pièc,Location,March,May,521676.05903310573,274550.28580589977
Ain Zaghouan,App. 2 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Borj Touil,Surfaces,Location,February,February,511238.2649639356,385959.4082204523
Cite El Habib,Autre,Vente,February,February,511238.2649639356,385959.4082204523
Charguia 1,Surfaces,Location,March,April,521676.05903310573,310308.0805972307
Cite El Khalil,Autre,Vente,March,April,521676.05903310573,310308.0805972307
Le Kram,Terrain nu,Terrain,March,May,521676.05903310573,274550.28580589977
Hammam Sousse,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Mnihla,Autre,Location,March,April,521676.05903310573,310308.0805972307
La Mannouba,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Kheireddine,App. 2 pièc,Location,March,April,521676.05903310573,310308.0805972307
Ariana,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
Megrine Coteau,Maisons,Location,February,February,511238.2649639356,385959.4082204523
Dar Chaabane El,Maisons,Vente,March,May,521676.05903310573,274550.28580589977
Riadh Landlous,App. 4 pièc,Vente,March,May,521676.05903310573,274550.28580589977
El Aouina,App. 4 pièc,Location,March,May,521676.05903310573,274550.28580589977
Sousse,Maisons,Vente,March,April,521676.05903310573,310308.0805972307
Nabeul,App. 3 pièc,Vente,March,May,521676.05903310573,274550.28580589977
